City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,jamestown,42.097,-79.2353,25.77000000000004,64,40,3.6,US,1690314184
101,port lincoln,-34.7333,135.8667,10.810000000000002,74,0,3.65,AU,1690313939
102,sarmakovo,43.7456,43.2003,21.360000000000014,75,19,3.36,RU,1690314193
103,port mathurin,-19.6833,63.4167,23.480000000000018,77,13,7.91,MU,1690314193
104,san jose,37.3394,-121.895,34.73000000000002,43,20,3.6,US,1690314165
105,pandan,14.0453,124.1694,27.730000000000018,82,100,8.23,PH,1690314115
106,nieuw amsterdam,5.8833,-55.0833,28.340000000000032,80,90,3.92,SR,1690314194
107,port elizabeth,-33.918,25.5701,13.800000000000011,62,39,2.79,ZA,1690314100
108,yerofey pavlovich,53.9667,121.9667,15.180000000000007,94,100,0.65,RU,1690314005
109,chernyshevskiy,63.0128,112.4714,14.950000000000045,98,55,1.23,RU,1690314194
110,geraldton,-28.7667,114.6,14.230000000000018,72,32,5.66,AU,1690313486
111,las palmas,28.4204,-14.0131,23.439999999999998,73,40,7.72,ES,1690314195
112,lulea,65.5842,22.1547,16.04000000000002,88,75,1.03,SE,1690314195
113,tolanaro,-25.0319,46.9987,21.04000000000002,64,75,6.17,MG,1690313666
114,ilulissat,69.2167,-51.1,3.0100000000000477,100,75,2.57,GL,1690314196
115,puente alto,-33.6167,-70.5833,15.860000000000014,53,0,3.09,CL,1690314196
116,happy valley-goose bay,53.3168,-60.3315,22.170000000000016,73,20,6.17,CA,1690314196
117,margaret river,-33.95,115.0667,12.180000000000007,83,100,7.41,AU,1690314196
118,toliara,-23.35,43.6667,18.430000000000007,65,54,6.7,MG,1690314197
119,tromso,69.6496,18.957,19.100000000000023,63,20,3.6,NO,1690313698
120,college,64.8569,-147.8028,25.110000000000014,71,75,2.06,US,1690314197
121,zharkent,44.1628,80.0,24.5,22,0,1.84,KZ,1690314197
122,kimberley,-28.7323,24.7623,12.830000000000041,35,100,1.03,ZA,1690314197
123,greymouth,-42.4667,171.2,4.640000000000043,89,55,2.59,NZ,1690314198
124,glazov,58.1394,52.6584,13.310000000000002,98,24,2.39,RU,1690313905
125,cabo san lucas,22.8909,-109.9124,34.610000000000014,55,20,2.57,MX,1690314034
126,uturoa,-16.7333,-151.4333,26.720000000000027,81,3,6.22,PF,1690314198
127,coquimbo,-29.9533,-71.3436,17.850000000000023,63,75,6.17,CL,1690314198
128,east london,-33.0153,27.9116,15.180000000000007,64,100,3.7,ZA,1690314097
129,isafjordur,66.0755,-23.124,8.490000000000009,77,90,3.92,IS,1690314199
130,rikaze,29.25,88.8833,11.680000000000007,77,100,2.51,CN,1690314071
131,puerto rico,-26.796,-55.024,26.08000000000004,51,67,0.59,AR,1690314175
132,hawaiian paradise park,19.5933,-154.9731,25.5,95,100,2.06,US,1690314069
133,huarmey,-10.0681,-78.1522,23.27000000000004,68,28,6.56,PE,1690313736
134,igarka,67.4667,86.5833,15.379999999999995,81,2,3.81,RU,1690313604
135,culiacan,24.7994,-107.3897,31.82000000000005,62,100,3.09,MX,1690314157
136,longyearbyen,78.2186,15.6401,12.910000000000025,62,40,6.17,SJ,1690314200
137,jackson,42.4165,-122.8345,28.54000000000002,40,0,2.24,US,1690314095
138,amalapuram,16.5833,82.0167,24.710000000000036,92,100,6.58,IN,1690314201
139,broome,42.2506,-75.833,25.950000000000045,78,20,0.0,US,1690313810
140,rouissat,31.9243,5.3502,41.04000000000002,9,0,2.06,DZ,1690314201
141,queenstown,-31.8976,26.8753,10.260000000000048,17,100,2.47,ZA,1690314201
142,sukhobezvodnoye,57.0491,44.8891,14.07000000000005,94,100,0.81,RU,1690314201
143,permet,40.2336,20.3517,26.970000000000027,34,0,2.83,AL,1690314202
144,sirte,31.2089,16.5887,30.890000000000043,50,0,3.92,LY,1690314202
145,badger,64.8,-147.5333,25.07000000000005,67,75,2.06,US,1690314202
146,san patricio,28.017,-97.5169,37.05000000000001,39,21,7.75,US,1690313443
147,panaba,21.2833,-88.2667,35.660000000000025,42,58,8.83,MX,1690313685
148,vilyuchinsk,52.9306,158.4028,14.150000000000034,79,9,1.62,RU,1690314106
149,magistral'nyy,56.1725,107.4458,15.480000000000018,95,100,0.58,RU,1690314203
150,laguna de perlas,12.3429,-83.6712,30.05000000000001,74,100,5.84,NI,1690314203
151,odessa,46.4775,30.7326,24.140000000000043,76,10,11.2,UA,1690314066
152,sos'va,59.1766,61.8558,14.060000000000002,97,16,2.28,RU,1690314204
153,wailua homesteads,22.0669,-159.378,27.439999999999998,82,100,6.69,US,1690314204
154,tadine,-21.55,167.8833,19.650000000000034,71,90,9.28,NC,1690314204
155,boguchany,58.3814,97.4531,14.740000000000009,97,0,1.31,RU,1690314205
156,raduzhny,62.0961,77.475,16.230000000000018,91,56,2.22,RU,1690313717
157,petropavlovsk-kamchatsky,53.0452,158.6483,13.330000000000041,100,20,1.0,RU,1690314205
158,lebu,-37.6167,-73.65,11.260000000000048,78,60,4.62,CL,1690314205
159,upper grand lagoon,30.1633,-85.7408,33.08000000000004,62,16,3.13,US,1690314206
160,iqaluit,63.7506,-68.5145,6.850000000000023,81,100,3.09,CA,1690314206
161,luanda,-8.8368,13.2343,21.0,88,75,1.54,AO,1690314206
162,san pedro piedra gorda,22.45,-102.35,19.82000000000005,54,99,4.22,MX,1690314128
163,zhangye,38.9342,100.4517,26.08000000000004,30,100,2.51,CN,1690314206
164,guerrero negro,27.9769,-114.0611,27.950000000000045,46,22,6.99,MX,1690314207
165,neryungri,56.6709,124.6491,12.810000000000002,93,48,0.51,RU,1690314207
166,kununurra,-15.7667,128.7333,9.990000000000009,76,9,2.06,AU,1690313878
167,holualoa,19.6228,-155.9522,25.910000000000025,84,40,2.57,US,1690314052
168,tura,25.5198,90.2201,24.0,97,99,2.35,IN,1690313914
169,paita,-5.0892,-81.1144,24.129999999999995,71,100,7.86,PE,1690314208
170,matonga,-2.3833,34.0833,25.340000000000032,38,100,0.83,TZ,1690314208
171,yalta,44.5,34.1667,22.970000000000027,67,0,0.24,UA,1690314208
172,ambatondrazaka,-17.8333,48.4167,15.470000000000027,97,18,1.67,MG,1690314208
173,woodward,36.4337,-99.3904,38.870000000000005,31,0,8.75,US,1690313979
174,weno,7.4515,151.8468,25.970000000000027,94,100,2.06,FM,1690314209
175,la passe,45.5549,-0.8967,19.129999999999995,73,92,4.5,FR,1690314210
176,port hedland,-20.3167,118.5667,12.03000000000003,76,10,3.09,AU,1690314210
